SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 05/08 19:30, FRIE, Pre-Match, Omonia – PAO 0:0, 1 asian,1.78,15, bet365, 1-0,11.7
Soccer, 08/08 20:30 09-08 19:30, CL EL, Pre-Match, PAOK – Spartak M. Leipzig - Craiova, under 2.5 1, 1.61 1.12,15, bet365, 3-2,-15
Soccer, 09/08 22:30, EL, Live, 20′ Sevilla – Zalgiris 0:0.75 (0-0), 1 asian HT,1.8,10, bet365, 1-0,4
Soccer, 11/08 17:30, FRIE, Pre-Match, Alki – AEL, 2 DNB,1.9,15, bet365, 0-1,13.5
Soccer, 11/08 18:00 11-08 18:30, FRIE FRIE, Pre-Match, OFI – Apollon Sm. Panionios - Panetolikos, 1 DNB 1 DNB, 1.66 1.61,10, bet365, 2-1 1-0,16.7
Soccer, 18/08 19:00, FRIE, Pre-Match, AEL – Anorthosi, 1 DNB,1.85,10, bet365, 2-0,8.5
Soccer, 19/08 19:00 19-08 19:00 19-08 19:00, FRIE FRIE FRIE, Pre-Match, Ksanthi – Iraklis 0:1.5 (15) Ksanthi - Iraklis(5) Ksanthi - Iraklis(5), 2 asian X2 Ksanthi under 2.5 goals, 1.925 3.75 1.80,25, bet365, 2-1,12.87
Soccer, 22/08 22:00, CL, Pre-Match, Vidi – AEK 0.5:0, 1 asian,1.72,10, pinnacle, 1-2,-10
Soccer, 25/08 19:15, GRE1, Live, 30′ PAOK – Asteras Tr. 0:0.75 (0-0), 1 asian,1.7,15, pinnacle, 1-0,5.25
Soccer, 26/08 16:00, GRECUP, Pre-Match, Xalkida – Episkopi, X2,2.3,5, stoiximan, 0-1,6.5
Soccer, 26/08 19:15, GRE1, Live, 1′ Panionios – OFI (0-0), under 2.5,2,10, bet365, 2-2,-10
Soccer, 26/08 21:30, GRE1, Live, 60′ Olympiakos – Levadiakos 0:0.75, 1 asian,1.7,15, bet365, 1-0,5.25
Soccer, 01/09 19:15, GRE1, Pre-Match, Pao – Lamia 0:1, 2 asian,1.75,10, bet365, 3-1,-10
Soccer, 01/09 21:30, GRE1, Pre-Match, Asteras Tr. – AEK, 1X,1.8,15, bet365, 0-1,-15
Soccer, 02/09 11:30, GREU19, Pre-Match, Panionios – PAOK U19, 2 DNB,1.85,10, bet365, 0-1,8.5
Soccer, 02/09 18:00, CYP1, Pre-Match, Alki – Ermis 0.25:0, 2 asian,1.95,20, bet365, 0-2,19
Soccer, 02/09 19:15, GRE1, Live, 27′ Panionios – PAOK (0-0),2,1.95,15, bet365, 0-1,14.25
Soccer, 02/09 20:00, CYP1, Live, 5′ Paralimni – Salamina (0-1), under 3.5,1.72,10, bet365, 3-5,-10
Soccer, 03/09 21:30, GRE1, Pre-Match, Levadiakos – Apollon Sm. 0:0.25, 1 asian,2,15, bet365, 1-0,15
Soccer, 06/09 03:00, MEXCUP, Live, 80′ Oaxaca – Monarcas (1-1), over 2.5,1.8,10, bet365, 1-1,-10
Soccer, 14/09 17:00, ROM3, Live, 25′ Metalurgistul – Millenium (0-0), over 1.5 HT,1.85,5, sbobet, 1-0,-5
Soccer, 15/09 18:15 15-09 18:15, GRE1 GRE1, Pre-Match, OFI – PAOK (5) OFI - PAOK, 2 & GG 2 & over 1.5, 4.20 1.83,10, stoiximan, 1-3,20.15
Soccer, 15/09 18:15, GRE1, Live, 4’ OFI – PAOK (0-0),2,1.8,15, sbobet, 1-3,12
Soccer, 15/09 19:00, GRE1, Pre-Match, Apollon Sm. – PAS 0:0, 2 asian,2.1,15, sbobet, 1-2,16.5
Soccer, 15/09 20:00, CYP1, Live, 73′ Salamina – AEK L. (1-1), over 2.5,1.9,15, bet365, 1-1,-15
Soccer, 16/09 16:30, GRECUP, Live, 12′ Ermis Am. – Ergotelis (0-0,2,1.8,10, bet365, 0-3,8
Soccer, 16/09 17:00, GRE1, Live, 58′ Ksanthi – Panetolikos (1-1), over 2.5,1.8,10, bet365, 1-1,-10
Soccer, 16/09 20:30, GRE1, Live, 75′ Olympiakos – Asteras Tr. (1-1), over 2.5,1.8,10, bet365, 2-1,8
Soccer, 17/09 19:00, CYP1, Live, 78′ Anorthosi – AEL (0-1), over 1.5,1.9,10, bet365, 0-1,-10
Soccer, 20/09 07:55, EL, Pre-Match, PAOK – Chelsea 1:0, 1 asian,1.8,15, bet365, 0-1,0
Soccer, 20/09 07:55, EL, Live, 75′ PAOK – Chelsea (0-1), over 1.5,1.85,10, bet365, 0-1,-10
Soccer, 22/09 20:30, GRE1, Pre-Match, PAS – Aris 0.25:0, 1 asian,1.8,15, pinnacle, 1-0,12
Soccer, 23/09 11:30, GREU19, Live, 5′ PAOK – AEK U19 (0-0),1,1.95,15, pinnacle, 4-0,14.25
Soccer, 23/09 19:00, GRE1, Pre-Match, Pao – Levadiakos 0:1, 2 asian,1.9,10, pinnacle, 3-0,-10
Soccer, 23/09 20:00, CYP1, Live, 55′ Alki – Anorthosi (0-0),2,1.7,15, pinnacle, 0-0,-15
Soccer, 23/09 20:30, GRE1, Live, 15′ PAOK – AEK 0:0.25 (0-0), 1 asian,1.9,20, pinnacle, 2-0,18
Soccer, 24/09 19:30 24-09 19:30 24-09 19:30, GRE1 GRE1 GRE1, Live, 30′ Panionios – Olympiakos 1:0 (0-0) (10) 40' Panionios - Olympiakos 0.75:0 (0-0) (10) 80' Panionios - Olympiakos (0-0) (15), 2 asian 2 asian over 0.5, 1.80 1.80 1.75,35, bet365, 0-1 0-1 0-1,15.2
Soccer, 24/09 19:30, GRE1, Pre-Match, Panionios – Olympiakos, 2 & GG,3.9,5, bet365, 0-1,-5
Soccer, 26/09 16:30, GRECUP, Live, 83′ Aititos – Ergotelis (1-1), over 2.5,2.9,5, bet365, 1-1,-5
Soccer, 27/09 21:30, GRECUP, Live, 20′ Olympiakos – Levadiakos 0:1.5 (0-0), 1 asian,1.8,15, bet365, 1-0,-15
Soccer, 29/09 18:00, GRE1, Live, 60′ Larisa – Panetolikos (1-0), over 1.5,2.1,10, pinnacle, 1-0,-10
Soccer, 30/09 16:00, GRE1, Pre-Match, Apollon Sm. – Panionios 0:0, 2 asian,1.75,15, pinnacle, 0-2,11.25
Soccer, 30/09 18:15, GRE1, Live, 1′ Levadiakos – Atromitos 0.25:0 (0-0), 1 asian,1.85,15, pinnacle, 0-2,-15
Soccer, 30/09 19:30, GRE1, Pre-Match, Aris – Asteras Tr., X2,1.7,15, bet365, 2-0,-15
Soccer, 30/09 20:30, GRE1, Pre-Match, Olympiakos – PAOK 0:0.75, 2 asian,1.8,15, bet365, 0-1,12
Soccer, 07/10 15:00, GREU19, Pre-Match, Panetolikos U19 – Levadiakos U19 0:1.75, 2 asian,2.05,15, bet365, 4-2,-7.5
Soccer, 07/10 16:00, GRE3, Pre-Match, Edessaikos – Agrotikos Ast., X2,1.85,5, stoiximan, 2-1,-5
Soccer, 07/10 16:00, GRE3, Pre-Match, Aiolikos – Kallithea,1,2.25,5, stoiximan, 2-1,6.25
Soccer, 07/10 16:00, GRE3, Pre-Match, Aspida Ks. – Aris Av.,2,2.12,5, stoiximan, 0-3,5.6
