SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
, 12/08 16:00, PERRES, Pre-Match, Juan Aurich B’ – Sport Rosario B’ 0:0, 1 asian, 1.78, 15, bet365, 4-1, +11.7,
, 12/08 20:00, ECU1, Pre-Match, Un. Catolica – Macara 0:0.5, 2 asian, 1.75, 20, bet365, 0-1, +15,
Soccer, 19/08 05:00, ΜΕΧ2, Pre-Match, Cafetaleros – Zacatepec 0:0, 1 asian, 2.05, 20, bet365, 2-1, +21,
Soccer, 19/08 18:00, CHI1, Pre-Match, Santiago Wanderers – Un. Catolica 0.5:0, 1 asian, 1.75, 25, bet365, 1-1, +18.75,
Soccer, 19/08 23:00, VEN1, Live, 63′ Deportivo Zulia – Atletico Socopo (1-0), over 2.5, 1.73, 35, bet365, 1-1, -35,
Soccer, 20/08 01:00, MEX1, Pre-Match, Cruz Azul – Atlas 0:1, 2 asian, 1.75, 20, bet365, 2-1, 0,
Soccer, 20/08 05:00, MEX1, Pre-Match, Chivas – Puebla, 1, 1.85, 20, bet365, 0-1, -20,
Soccer, 20/08 20:00, ECU1, Pre-Match, El Nacional – LDU Quito 0:0, 2 asian, 1.98, 20, bet365, 4-2, -20,
Soccer, 20/08 23:00, COST2, Pre-Match, Futbol Consultants Moravia – CS Uruguay 0:0.25, 2 asian, 1.88, 20, bet365, 2-1, -20,
Soccer, 23/08 05:00, MEX1, Pre-Match, Pumas – Monarcas, 1 asian, 1.70, 20, pinbet, 1-2, -20,
Soccer, 23/08 22:00, BOL1, Live, 45′ Guabira – San Jose 0:0.5 (1-1), 1 asian, 1.98, 20, bet365, 3-1, +19.6,
Soccer, 26/08 20:00, ECURES, Pre-Match, LDU Quito B’ – Barcelona B’ 0.5:0, 1 asian, 1.93, 20, bet365, 1-0, +18.6,
Soccer, 26/08 21:30, URU1, Pre-Match, Cerro – Defensor Sporting, 2 DNB, 1.83, 20, bet365, 0-3, +16.6,
Soccer, 27/08 03:06, MEX1, Pre-Match, Leon – Santos Laguna, over 2.75, 1.83, 20, bet365, 1-2, +8.3,
Soccer, 27/08 21:30, URU1, Live, 45′ Racing – Tanque Sisley 0:0.5 (0-1), 1 live asian, 1.75, 20, bet365, 0-2, -20,
Soccer, 27/08 21:30, CHI2, Pre-Match, Colchagua-Deportes Recoleta 0:0, 1 asian, 1.75, 20, bet365, 1-5, -20,
Soccer, 27/08 21:30, ESP2, Pre-Match, Reus – Gimnastic Tarragona, X2, 1.70, 25, bet365, 1-1, +17.5,
Soccer, 28/08 00:00, COST1, Pre-Match, Municipal Grecia – Santos Guapiles 0:0, 1 asian, 1.78, 20, bet365, 2-1, +15.6,
Soccer, 28/08 22:00, ESP2, Pre-Match, Barcelona B’ – Tenerife 0:0, 1 asian, 1.90, 20, bet365, 0-3, -20,
Soccer, 02/09 22:00, VEN1, Pre-Match, Deportivo Zulia – Atletico Venezuela 0:0.5, 2 asian, 1.71, 20, pinnacle, 0-0, +14.2,
Soccer, 02/09 23:30, PER2, Pre-Match, Coopsol – Cesar Vallejo 0:0, 2 asian, 1.90, 20, bet365, 2-1, -20,
Soccer, 03/09 01:30, ***, Pre-Match, Deportivo Cali – Bucaramanga 0:0.75, 1 asian, 1.80, 20, pinnacle, 2-1, +8,
Soccer, 03/09 20:00, ECU2, Live, 68′ Mushuc Runa – America Quito (0-1), over 1.75, 1.85, 20, bet365, 1-1, +8.5,
Soccer, 03/09 20:00, ECU2, Live, 28′ Imbabura – Tecnico Universitario 0:0 (0-0), 2 live asian, 1.75, 20, bet365, 1-1, 0,
Soccer, 03/09 22:00, ECU2, Live, 5′ Santa Rita – LDU Loja 0:0.75 (0-0), 1 live asian, 1.925, 20, bet365, 1-1, -20,
Soccer, 03/09 22:00, URU1, Pre-Match, El Tanque Sisley – Cerro 0:0, 2 asian, 1.84, 20, pinnacle, 2-1, -20,
Soccer, 03/09 23:00, VEN1, Live, 15′ Monagas – Atletico Socopo (0-0), over 2.5, 1.93, 35, pinnacle, 3-1, +32.5,
Soccer, 03/09 23:30, PER2, Live, 70′ Sport Victoria – Sport Ancash (0-0), over 0.75, 1.95, 30, bet365, 1-0, +14.25,
Soccer, 04/09 23:30, PER2, Pre-Match, Deportivo Hualgayoc – Willy Serrato, over 2.5, 1.70, 25, bet365, 3-1, +17.5,
